"","ZIPCODE","VIOLATION","FELONY","MISDEMEANOR","LONG","LAT","TOTAL"
"1",10001,432,1583,3141,-73.997176,40.750634,5156
"2",10002,669,1486,3232,-73.986207,40.715777,5387
"3",10003,370,1443,2585,-73.989181,40.731829,4398
"4",10005,53,89,189,-74.008785,40.706004,331
"5",10006,65,132,456,-74.012952,40.709579,653
"6",10007,119,228,552,-74.007771,40.713858,899
"7",10009,346,810,1608,-73.978635,40.726402,2764
"8",10010,201,692,1061,-73.982455,40.739104,1954
"9",10011,407,1359,2292,-74.000622,40.742042,4058
"10",10012,164,799,1351,-73.998078,40.725581,2314
"11",10013,293,894,1739,-74.004901,40.720103,2926
"12",10014,230,882,1279,-74.006746,40.734012,2391
"13",10016,303,839,1261,-73.978294,40.745221,2403
"14",10017,165,426,678,-73.972489,40.752359,1269
"15",10018,200,833,1395,-73.993139,40.755332,2428
"16",10019,604,1556,2597,-73.987179,40.765823,4757
"17",10020,6,200,180,-73.978833,40.758236,386
"18",10021,107,341,491,-73.958741,40.769225,939
"19",10022,287,910,1249,-73.967949,40.75863,2446
"20",10023,299,744,1701,-73.982602,40.775916,2744
"21",10024,292,583,1145,-73.974414,40.798452,2020
"22",10025,650,1290,2464,-73.966622,40.798601,4404
"23",10026,411,801,1909,-73.952681,40.802381,3121
"24",10027,784,1582,3377,-73.95306,40.811407,5743
"25",10028,88,397,440,-73.953513,40.776442,925
"26",10029,914,1529,3849,-73.94397,40.791763,6292
"27",10030,350,578,1200,-73.942856,40.818267,2128
"28",10031,533,903,1872,-73.950045,40.825288,3308
"29",10032,374,845,1887,-73.94283,40.838792,3106
"30",10033,346,770,1536,-73.934051,40.850482,2652
"31",10034,272,802,1383,-73.924312,40.867076,2457
"32",10035,558,1398,3116,-73.92957,40.795458,5072
"33",10036,423,1587,2780,-73.989828,40.759255,4790
"34",10037,184,404,823,-73.937376,40.81296,1411
"35",10038,183,282,692,-74.002564,40.709308,1157
"36",10039,308,490,1276,-73.936216,40.830869,2074
"37",10040,181,537,725,-73.930494,40.858314,1443
"38",10069,8,24,26,-73.990341,40.77596,58
"39",10103,2,9,14,-73.97767,40.76078,25
"40",10110,9,30,45,-73.982256,40.754499,84
"41",10111,5,7,12,-73.977596,40.759114,24
"42",10112,2,25,27,-73.979668,40.759167,54
"43",10115,0,4,0,-73.963744,40.810852,4
"44",10119,20,65,105,-73.992979,40.75031,190
"45",10128,220,644,1020,-73.95001,40.781428,1884
"46",10152,2,6,10,-73.972031,40.758404,18
"47",10153,0,9,9,-73.972439,40.763622,18
"48",10154,8,16,101,-73.972487,40.757779,125
"49",10162,0,3,0,-73.949924,40.769308,3
"50",10165,1,6,5,-73.978722,40.752131,12
"51",10167,2,0,2,-73.974771,40.754648,4
"52",10169,5,15,13,-73.976098,40.754391,33
"53",10170,32,63,119,-73.975877,40.752625,214
"54",10171,4,6,5,-73.973858,40.755899,15
"55",10172,1,6,6,-73.974315,40.755273,13
"56",10173,2,12,10,-73.979364,40.754131,24
"57",10174,2,4,21,-73.975003,40.751441,27
"58",10177,0,2,3,-73.975934,40.755139,5
"59",10199,4,18,33,-73.997152,40.751383,55
"60",10271,0,0,2,-74.010541,40.708236,2
"61",10278,0,1,0,-74.003717,40.715138,1
"62",10279,3,7,5,-74.008669,40.712626,15
"63",10280,33,94,83,-74.016423,40.709073,210
"64",10282,25,48,86,-74.015593,40.716768,159
"65",10468,0,1,0,-73.899995,40.86894,1
"66",11212,0,0,1,-73.913019,40.662932,1
"67",11370,0,67,57,-73.893191,40.765393,124
